Nom du festival,Envergure territoriale,Région principale de déroulement,Département principal de déroulement,Commune principale de déroulement,Code postal (de la commune principale de déroulement),Code Insee commune,Code Insee EPCI,Libellé EPCI,Numéro de voie,"Type de voie (rue, Avenue, boulevard, etc.)",Nom de la voie,Adresse postale,Complément d'adresse (facultatif),Site internet du festival,Adresse e-mail,Décennie de création du festival,Année de création du festival,Discipline dominante,Sous-catégorie spectacle vivant,Sous-catégorie musique,Sous-catégorie Musique CNM,Sous-catégorie cinéma et audiovisuel,Sous-catégorie arts visuels et arts numériques,Sous-catégorie livre et littérature,Période principale de déroulement du festival,Identifiant Agence A,Identifiant,Géocodage xy,identifiant CNM
Les Polyphonies,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Maison de la Poésie,Maison de la Poésie,,https://www.maisondelapoesie-rennes.org/,coordination.mprb@gmail.com,De 2000 à 2009,,"Livre, littérature",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5382,"48.1119791219, -1.68186449144",
Cours en Betton - Festival du film de l'Ouest,,Bretagne,Ille-et-Vilaine,Rennes,35830,35238,243500139,Rennes Métropole,,,Salle de la Cité,Salle de la Cité,,https://www.courtsenbetton.com/,contact@courtsenbetton.com,De 2000 à 2009,2009,"Cinéma, audiovisuel",,,,"Fiction long métrage, Court métrage, Documentaire, Film d'animation, Clip, Films d'ateliers",,,,,FEST_35238_5351,"48.1119791219, -1.68186449144",
Figures,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Salle Guy -Ropartz,Salle Guy -Ropartz,,https://www.lillicojeunepublic.fr/,administration@lillicojeunepublic.fr,2010 et après,,Spectacle vivant,"Marionnettes, Théâtre d'objet, Théâtre",,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5360,"48.1119791219, -1.68186449144",
Le Feu Au Lac,,Bretagne,Ille-et-Vilaine,Vern-sur-Seiche,35770,35352,243500139,Rennes Métropole,,,Vallée de la Seiche,Vallée de la Seiche,,,contact@festival-lefeuaulac.fr,De 2000 à 2009,,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_35352_7001,"48.0525245014, -1.60521106164",
Les Envolées,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Théâtre La Paillette,Théâtre La Paillette,,https://www.la-paillette.net/,direction@la-paillette.net,De 1980 à 1989,,Musique,Théâtre,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5377,"48.1119791219, -1.68186449144",
Musiqu'Alambic,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Le jardin moderne,Le jardin moderne,11 Rue du Manoir de Servigné,,musiqualambic@gmail.com,,,Musique,,,,,,,,,FEST_35238_5389,"48.1119791219, -1.68186449144",
Image Publique,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,A Rennes et ses alentours - 14 LIEUX #,A Rennes et ses alentours - 14 LIEUX #,,https://www.photoalouest.com/image-publique/le-festival,pvancassel@hotmail.com,,,"Arts visuels, arts numériques",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_35238_5362,"48.1119791219, -1.68186449144",
Un Printemps en Asie,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Ciné TNB,Ciné TNB,,https://www.unprintempsenasie.com/,festivalupea@gmail.com,2010 et après,2018,"Cinéma, audiovisuel",,,,"Fiction long métrage, Documentaire, Film d'animation",,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5413,"48.1119791219, -1.68186449144",
Court Métrange,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,"Cinéma Gaumont, Esplanade Charles-de-Gaulle","Cinéma Gaumont, Esplanade Charles-de-Gaulle",,https://www.courtmetrange.eu/,direction.courtmetrange@gmail.com,De 2000 à 2009,2003,"Cinéma, audiovisuel",,,,Fiction longs métrages,,,Après-saison (6 septembre - 31 décembre),,FEST_35238_5352,"48.1119791219, -1.68186449144",
Mil Goul,Intercommunale,Bretagne,Ille-et-Vilaine,Rennes,35700,35238,243500139,Rennes Métropole,,,"Avenue Charles Tillon, Ferme de la Harpe, et différents lieux à Rennes","Avenue Charles Tillon, Ferme de la Harpe, et différents lieux à Rennes",,www.bertegn-galezz.bzh,contact@bertegn-gallez.bzh,De 2000 à 2009,2002,Pluridisciplinaire,,,,,,Animations autour de la langue gallèse,Après-saison (6 septembre - 31 décembre),,FEST_35238_5418,"48.1119791219, -1.68186449144",
Rencontres Alternatives (biennale),,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Parc de la Prévalaye,Parc de la Prévalaye,,,lassorennaise@hotmail.fr,De 2000 à 2009,,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_35238_5395,"48.1119791219, -1.68186449144",
Rituel,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,"Marquis de Sade, l'Hôtel Pasteur, au Jardin moderne","Marquis de Sade, l'Hôtel Pasteur, au Jardin moderne",,rituel111.fr,contact@rituel111.fr,2010 et après,2017,Musique,,"Musiques du monde, Variétés internationales, Musiques électroniques, techno, Pop, rock",,,,,Après-saison (6 septembre - 31 décembre),,FEST_35238_5398,"48.1119791219, -1.68186449144",
Rue des livres,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Aux Cadets de Bretagne,Aux Cadets de Bretagne,Rue d'Antrain,https://festival-ruedeslivres.org/,contact@festival-ruedeslivres.org,De 2000 à 2009,2008,"Livre, littérature",,,,,,"Fiction (roman, théâtre, etc.), Non-fiction (documentaire, autobiographie, essai, récit, etc.), Polar, Science-fiction, Bande dessinée, comics, manga",Avant-saison (1er janvier - 20 juin),,FEST_35238_5400,"48.1119791219, -1.68186449144",
CinéMA 35 en fête,,Bretagne,Ille-et-Vilaine,Cesson-Sévigné,35510,35051,243500139,Rennes Métropole,,,Dans une trentaine de salles d'Ile-et-Vilaine,Dans une trentaine de salles d'Ile-et-Vilaine,,www.cinema35.fr,contact@cinema35.fr,De 1990 à 1999,1992,"Cinéma, audiovisuel",,,,"Fiction long métrage, Court métrage, Documentaire, Film d'animation",,,Avant-saison (1er janvier - 20 juin),,FEST_35051_1383,"48.1202268032, -1.59714447272",
Travelling,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,"Clair Obscur, 5 Rue de Lorraine","Clair Obscur, 5 Rue de Lorraine",,clairobscur.info,clairobscur@clairobscur.info,De 1990 à 1999,1990,"Cinéma, audiovisuel",,,,"Fiction long métrage, Court métrage, Documentaire, Film d'animation",,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5409,"48.1119791219, -1.68186449144",
Ô Jardins Pestaculaires,,Bretagne,Ille-et-Vilaine,Bécherel,35190,35022,243500139,Rennes Métropole,,,Jardins du Thabor,Jardins du Thabor,,www.regardsdemomes.fr,regardsdemomes@gmail.com,2010 et après,2010,Spectacle vivant,Arts de la rue,,,,,,Saison (21 juin - 5 septembre),,FEST_35022_711,"48.2965087434, -1.9428236566",
Scèn'Art en Court,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Place Recteur Henri  le Moal,Place Recteur Henri  le Moal,,,festivalscenart@gmail.com,2010 et après,,"Cinéma, audiovisuel",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5401,"48.1119791219, -1.68186449144",
Dance Ska La,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,L'Antipode,L'Antipode,,,contact@bananajuice.fr,De 1990 à 1999,,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_35238_5353,"48.1119791219, -1.68186449144",
Les Armélomix,,Bretagne,Ille-et-Vilaine,Saint-Armel,35230,35250,243500139,Rennes Métropole,,,Bourg de Saint-Armel,Bourg de Saint-Armel,,,contact@les-armelodik.fr,2010 et après,,Musique,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35250_5590,"48.0133072658, -1.58086136058",
Cours en Betton - Festival du film de l'Ouest,,Bretagne,Ille-et-Vilaine,Betton,35830,35024,243500139,Rennes Métropole,,,,,,https://www.courtsenbetton.com/,contact@courtsenbetton.com,De 2000 à 2009,2009,"Cinéma, audiovisuel",,,,"Fiction long métrage, Court métrage, Documentaire, Film d'animation, Clip, Films d'ateliers",,,Avant-saison (1er janvier - 20 juin),,FEST_35024_796,"48.1812360423, -1.64589552684",
Le Marché Noir,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Les Ateliers du Vent,Les Ateliers du Vent,59 Rue Alexandre Duval,http://www.lemarchenoir.org,contact@lemarchenoir.org,2010 et après,,"Arts visuels, arts numériques",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_35238_5374,"48.1119791219, -1.68186449144",
Images de justice,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Exposition au parlement de Bretagne,Exposition au parlement de Bretagne,Ateliers du vent,https://www.comptoirdudoc.org/programmations/images-de-justice,comptoir@comptoirdudoc.org,De 2000 à 2009,2003,"Cinéma, audiovisuel",,,,Documentaire,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5363,"48.1119791219, -1.68186449144",
Les Giboulées,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Multisites,Multisites,,https://festival-lesgiboulees.fr/,contact@festival-lesgiboulees.fr,2010 et après,2013,"Cinéma, audiovisuel",Arts de la rue,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5380,"48.1119791219, -1.68186449144",
Quartiers en Scène,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,9 Equipements du Cercle Paul Bert,9 Equipements du Cercle Paul Bert,,http://quartiers-en-scene.fr/,ginguene@cerclepaulbert.asso.fr,,,Pluridisciplinaire,"Théâtre, arts du conte, danse",Musique,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5394,"48.1119791219, -1.68186449144",
