Identifiant_de_l_etablissement,Type_etablissement,Statut_public_prive,Type_contrat_prive,Nom_etablissement,Adresse_1,Adresse_2,Adresse_3,Code_postal,Code_commune,Nom_commune,Code_departement,Libelle_departement,Code_academie,Libelle_academie,Code_region,Libelle_region,Ecole_maternelle,Ecole_elementaire,Voie_generale,Voie_technologique,Voie_professionnelle,Telephone,Fax,Web,Mail,Restauration,Hebergement,ULIS,Lycee_des_metiers,Apprentissage,Segpa,Post_BAC,Section_arts,Section_cinema,Section_theatre,Section_sport,Section_internationale,Section_europeenne,Lycee_Agricole,Lycee_militaire,Nombre_d_eleves,GRETA,SIREN_SIRET,Fiche_onisep,Appartenance_Education_Prioritaire,coordX_origine,coordY_origine,epsg_origine,nom_circonscription,latitude,longitude,position,precision_localisation,date_ouverture,date_maj_ligne,etat,ministere_tutelle,multi_uai,rpi_concentre,rpi_disperse,code_nature,libelle_nature
0350950T,Ecole,Public,SANS OBJET,Ecole maternelle publique Jean Zay,3 D place Saint Melaine ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0257213057,,,ecole.0350950T@ac-rennes.fr,1,0,0,,,,,,,,,,,,,137,,21350238801009,,,352495.8,6789719.6,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Est,48.11528866065678,-1.6723932053230386,"48.11528866065678,-1.6723932053230386",Numéro de rue,1969-10-13,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0351494J,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée Notre Dame du Vieux Cours,19 boulevard de la Liberté ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299796284,,,ec.0351494J@ac-rennes.fr,1,0,0,,,,,,,,,,,,,417,,77774967200021,,,351953.4,6788825.3,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.1069666026837,-1.6789573594312295,"48.1069666026837,-1.6789573594312295",Numéro de rue,1971-03-18,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351502T,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée St Vincent Providence,75 rue de Paris ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299848109,,,ec.0351502T@ac-rennes.fr,1,0,0,,,,,,,,,,,,,495,,57920161700035,,,353205.2,6789463.6,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Est,48.11336619701599,-1.6626740805309244,"48.11336619701599,-1.6626740805309244",Numéro de rue,1971-03-18,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351561G,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée Notre Dame,7 rue du Muguet ,,35132 VEZIN LE COQUET,35132,35353,Vezin-le-Coquet,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299645333,,,ec.0351561G@ac-rennes.fr,1,0,0,,,,,,,,,,,,,230,,77778720100014,,,346369.7,6790410.4,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.118204887157034,-1.7551235388942925,"48.118204887157034,-1.7551235388942925",Numéro de rue,1971-03-18,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351572U,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée Montessori,14 rue des Arts ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299592556,,,ec.0351572U@ac-rennes.fr,1,0,0,,,,,,,,,,,,,179,,77774572000022,,,349265.9,6789435.2,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.11100731897576,-1.715490268690535,"48.11100731897576,-1.715490268690535",Numéro de rue,1980-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351774N,Ecole,Public,SANS OBJET,Ecole élémentaire publique Liberté,8 boulevard de la Liberté ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299301674,,,ecole.0351774N@ac-rennes.fr,1,0,0,,,,,,,,,,,,,226,,21350238800555,,,352136.0,6788929.8,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.10800257680705,-1.6765914231134713,"48.10800257680705,-1.6765914231134713",Numéro de rue,1972-06-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351836F,Ecole,Public,SANS OBJET,Ecole maternelle publique Eric Tabarly,9 bis contour de l'Eglise ,,35132 VEZIN LE COQUET,35132,35353,Vezin-le-Coquet,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299645112,,,ecole.0351836F@ac-rennes.fr,1,0,0,,,,,,,,,,,,,105,,21350353500022,,,346287.4,6790359.2,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.11770042831015,-1.7561861006597979,"48.11770042831015,-1.7561861006597979",Numéro de rue,1973-06-06,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0352054T,Ecole,Public,SANS OBJET,Ecole maternelle publique Louise Michel,7 rue Thiers ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0257213067,,,ecole.0352054T@ac-rennes.fr,1,0,0,,,,,,,,,,,,,95,,21350238800860,,,351615.2,6788740.6,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.106025457940724,-1.6834258364510315,"48.106025457940724,-1.6834258364510315",Numéro de rue,1980-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0352055U,Ecole,Public,SANS OBJET,Ecole élémentaire publique Louise Michel,15 rue Thiers ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0257213066,,,ecole.0352055U@ac-rennes.fr,1,0,0,,,,,,,,,,,,,144,,21350238800852,,,351576.1,6788746.4,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.10605670004281,-1.6839548553559773,"48.10605670004281,-1.6839548553559773",Numéro de rue,1980-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352207J,Ecole,Public,SANS OBJET,Ecole élémentaire publique Jean Moulin,8 rue de Bourgogne ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0257213051,,,ecole.0352207J@ac-rennes.fr,1,0,0,,,,,,,,,,,,,253,,21350238800985,,REP,350016.5,6790212.8,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.11839476255964,-1.7060449692398438,"48.11839476255964,-1.7060449692398438",Numéro de rue,1994-06-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352271D,Ecole,Public,SANS OBJET,Ecole élémentaire publique Guyenne,23 avenue de Guyenne ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0257213043,,,ecole.0352271D@ac-rennes.fr,1,0,0,,,,,,,,,,,,,177,,21350238801025,,REP,349156.2,6790525.0,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.12073738968767,-1.7178360199877902,"48.12073738968767,-1.7178360199877902",Numéro de rue,1993-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352410E,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée St Jean Bosco,4 rue Abbé Huet ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299594480,,,ec.0352410E@ac-rennes.fr,1,0,0,,,,,,,,,,,,,210,,33090808800017,,,350261.6,6790754.8,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.123394568928525,-1.7031906058982982,"48.123394568928525,-1.7031906058982982",Numéro de rue,1994-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352517W,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée Notre Dame des Miracles,14 rue de la Motte Picquet ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299672440,,,ec.0352517W@ac-rennes.fr,1,0,1,,,,,,,,,,,,,270,,77774579500016,,,351406.6,6788921.9,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.10754270933335,-1.6863680013587388,"48.10754270933335,-1.6863680013587388",Numéro de rue,1997-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352810P,Ecole,Public,SANS OBJET,Ecole primaire publique Andrée Chédid,9 rue de Picardie ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0257213021,,,ecole.0352810P@ac-rennes.fr,1,0,0,,,,,,,,,,,,,372,,21350238801306,,REP,349583.3,6790699.8,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.122536857285,-1.7122465000203722,"48.122536857285,-1.7122465000203722",Numéro de rue,2010-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352877M,Ecole,Public,SANS OBJET,Ecole primaire publique Nelson Mandela,1 rue CHRISTINE DE PISAN ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0223622900,,,ecole.0352877M@ac-rennes.fr,1,0,0,,,,,,,,,,,,,254,,,,,350682.8,6791885.1,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.133772890904964,-1.6984431498133152,"48.133772890904964,-1.6984431498133152",Numéro de rue,2015-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351636N,Ecole,Public,SANS OBJET,Ecole maternelle publique de Bécherel,4 chemin de la Roncette ,,35190 BECHEREL,35190,35022,Bécherel,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299667758,,,ecole.0351636N@ac-rennes.fr,0,0,0,,,,,,,,,,,,,81,,21350022600039,,,333399.9,6810943.5,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Grégoire,48.29544614857388,-1.9463497959780116,"48.29544614857388,-1.9463497959780116",Numéro de rue,1971-06-24,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,035009,101,ECOLE MATERNELLE
0351619V,Ecole,Public,SANS OBJET,Ecole élémentaire publique Eric Tabarly,9 bis contour de l'Eglise ,,35132 VEZIN LE COQUET,35132,35353,Vezin-le-Coquet,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299645344,,,ecole.0351619V@ac-rennes.fr,1,0,0,,,,,,,,,,,,,179,,21350353500030,,,346294.1,6790362.7,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.11773549487772,-1.7560990583175868,"48.11773549487772,-1.7560990583175868",Numéro de rue,1971-06-24,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350626R,Ecole,Public,SANS OBJET,Ecole élémentaire publique Camille Claudel,102 boulevard la Duchesse Anne ,,35700 RENNES,35700,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0257213022,,,ecole.0350626R@ac-rennes.fr,1,0,0,,,,,,,,,,,,,126,,21350238801462,,,352841.1,6790291.8,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Est,48.120612220201146,-1.6682155726029975,"48.120612220201146,-1.6682155726029975",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350153B,Ecole,Public,SANS OBJET,Ecole primaire publique Aux Quatre Vents,4 rue des Quatre Vents ,,35530 BRECE,35530,35039,Brécé,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299001157,,,ecole.0350153B@ac-rennes.fr,1,0,0,,,,,,,,,,,,,253,,21350039000025,,,366416.7,6788422.5,EPSG:2154,Circonscription d'inspection du 1er degré de Cesson-Sévigné,48.11089570120712,-1.4846399733830646,"48.11089570120712,-1.4846399733830646",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350173Y,Ecole,Public,SANS OBJET,Ecole primaire publique le Chemin Neuf,18 rue du Lavoir ,,35630 LA CHAPELLE CHAUSSEE,35630,35058,La Chapelle-Chaussée,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299458820,,,ecole.0350173Y@ac-rennes.fr,1,0,0,,,,,,,,,,,,,197,,21350058000021,,,340167.4,6808013.4,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Grégoire,48.27290942422916,-1.8528447277141038,"48.27290942422916,-1.8528447277141038",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350174Z,Ecole,Public,SANS OBJET,Ecole élémentaire publique Georges Martinais,5 rue de Rennes ,,35520 LA CHAPELLE DES FOUGERETZ,35520,35059,La Chapelle-des-Fougeretz,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299665154,,,ecole.0350174Z@ac-rennes.fr,1,0,0,,,,,,,,,,,,,285,,21350059800031,,,348486.3,6796731.0,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Grégoire,48.17612001105032,-1.73181765585536,"48.17612001105032,-1.73181765585536",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350188P,Ecole,Public,SANS OBJET,Ecole primaire publique Le Chat Perché,13 avenue Remondel ,,35230 NOYAL CHATILLON SUR SEICHE,35230,35206,Noyal-Châtillon-sur-Seiche,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299523286,,,ecole.0350188P@ac-rennes.fr,1,0,0,,,,,,,,,,,,,454,,21350073900031,,,352457.4,6781409.2,EPSG:2154,Circonscription d'inspection du 1er degré de Chartres-de-Bretagne,48.04061652498193,-1.6663128073713918,"48.04061652498193,-1.6663128073713918",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350195X,Ecole,Public,SANS OBJET,Ecole primaire publique Jules Verne,5 place de l'Eglise ,,35250 CHEVAIGNE,35250,35079,Chevaigné,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299009901,,,ecole.0350195X@ac-rennes.fr,1,0,0,,,,,,,,,,,,,194,,21350079600023,,,356166.7,6800208.0,EPSG:2154,Circonscription d'inspection du 1er degré de Liffre,48.211445877288064,-1.631411348983113,"48.211445877288064,-1.631411348983113",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350197Z,Ecole,Public,SANS OBJET,Ecole primaire publique de Clayes,8 rue de l'Etang ,,35590 CLAYES,35590,35081,Clayes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299612060,,,ecole.0350197Z@ac-rennes.fr,1,0,0,,,,,,,,,,,,,111,,21350081200028,,,339441.9,6797265.0,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Grégoire,48.17597953673861,-1.8537053951214286,"48.17597953673861,-1.8537053951214286",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350208L,Ecole,Public,SANS OBJET,Ecole primaire publique Jacques-Yves Cousteau,29 boulevard de la Gare ,,35150 CORPS NUDS,35150,35088,Corps-Nuds,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299440190,,,ecole.0350208L@ac-rennes.fr,1,0,0,,,,,,,,,,,,,298,,21350088700046,,,358145.8,6774407.6,EPSG:2154,Circonscription d'inspection du 1er degré de Châteaubourg,47.980713785505216,-1.5846580778023496,"47.980713785505216,-1.5846580778023496",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350266Z,Ecole,Public,SANS OBJET,Ecole élémentaire publique Léonard de Vinci,26 rue de la Gare ,,35850 GEVEZE,35850,35120,Gévezé,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299699901,,,ecole.0350266Z@ac-rennes.fr,1,0,1,,,,,,,,,,,,,307,,21350120800036,,,344350.0,6801762.7,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Grégoire,48.21906961481391,-1.7914668216681922,"48.21906961481391,-1.7914668216681922",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350288Y,Ecole,Public,SANS OBJET,Ecole primaire publique le Long Sillon,Place Victor Hugo ,,35120 HIREL,35120,35132,Hirel,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299488353,,,ecole.0350288Y@ac-rennes.fr,1,0,0,,,,,,,,,,,,,85,,21350132300025,,,346183.6,6844618.1,EPSG:2154,Circonscription d'inspection du 1er degré du Pays Malouin,48.60490903386008,-1.8018923939011524,"48.60490903386008,-1.8018923939011524",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350294E,Ecole,Public,SANS OBJET,Ecole primaire publique Henri Dès,15 rue de la Mairie ,,35850 IRODOUER,35850,35135,Irodouër,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299398126,,,ecole.0350294E@ac-rennes.fr,1,0,0,,,,,,,,,,,,,190,,21350135600074,,,333234.9,6805632.7,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Grégoire,48.247663193813466,-1.9440895002464378,"48.247663193813466,-1.9440895002464378",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350296G,Ecole,Public,SANS OBJET,Ecole élémentaire publique le Chat Perché,6 boulevard Plazanet ,,35150 JANZE,35150,35136,Janzé,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299470102,,,ecole.0350296G@ac-rennes.fr,1,0,0,,,,,,,,,,,,,328,,21350136400029,,,364582.6,6771951.8,EPSG:2154,Circonscription d'inspection du 1er degré de Châteaubourg,47.96197907427022,-1.4966480392354218,"47.96197907427022,-1.4966480392354218",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350362D,Ecole,Public,SANS OBJET,Ecole élémentaire publique Gérard Philipe,2 rue des Courtines ,,35760 MONTGERMONT,35760,35189,Montgermont,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299689941,,,ecole.0350362D@ac-rennes.fr,1,0,0,,,,,,,,,,,,,168,,21350189300027,,,349642.2,6794452.6,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Grégoire,48.156277109045256,-1.714465821140211,"48.156277109045256,-1.714465821140211",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350395P,Ecole,Public,SANS OBJET,Ecole primaire Publique la Fontaine,3 rue Principale ,,35850 PARTHENAY DE BRETAGNE,35850,35216,Parthenay-de-Bretagne,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299691504,,,ecole.0350395P@ac-rennes.fr,1,0,0,,,,,,,,,,,,,265,,21350216400022,,,341257.4,6799019.1,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Grégoire,48.19273442577876,-1.8307696489380612,"48.19273442577876,-1.8307696489380612",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350445U,Ecole,Public,SANS OBJET,Ecole primaire publique les Boschaux,14 bis rue de la Mairie ,,35230 ST ARMEL,35230,35250,Saint-Armel,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299627760,,,ecole.0350445U@ac-rennes.fr,1,0,0,,,,,,,,,,,,,213,,21350250300047,,,357710.6,6778177.8,EPSG:2154,Circonscription d'inspection du 1er degré de Cesson-Sévigné,48.01435750913986,-1.5934194986289554,"48.01435750913986,-1.5934194986289554",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350467T,Ecole,Public,SANS OBJET,Ecole primaire publique Lucie Aubrac,3 allée de l'Ecole ,,35131 PONT PEAN,35131,35363,Pont-Péan,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299528405,,,ecole.0350467T@ac-rennes.fr,1,0,0,,,,,,,,,,,,,446,,21350363400031,,,349303.4,6779084.9,EPSG:2154,Circonscription d'inspection du 1er degré de Chartres-de-Bretagne,48.01805356550662,-1.7067024811645781,"48.01805356550662,-1.7067024811645781",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350483K,Ecole,Public,SANS OBJET,Ecole élémentaire publique Paul-Emile Victor,8 rue Paul-Emile Victor ,,35760 ST GREGOIRE,35760,35278,Saint-Grégoire,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299689788,,,ecole.0350483K@ac-rennes.fr,1,0,0,,,,,,,,,,,,,278,,21350278400043,,,351333.7,6793940.3,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Grégoire,48.15258148181998,-1.6913493250927756,"48.15258148181998,-1.6913493250927756",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350592D,Ecole,Public,SANS OBJET,Ecole élémentaire publique Joseph Lotte,1 rue JOSEPH LOTTE ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0257213059,,,ecole.0350592D@ac-rennes.fr,1,0,1,,,,,,,,,,,,,181,,21350238800597,,,351486.4,6790700.6,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.12356263243049,-1.6867153290368557,"48.12356263243049,-1.6867153290368557",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350593E,Ecole,Public,SANS OBJET,Ecole élémentaire publique Albert de Mun,5 rue Albert Martin ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0257213020,,,ecole.0350593E@ac-rennes.fr,1,0,0,,,,,,,,,,,,,225,,21350238800613,,,352862.4,6788180.6,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Sud,48.101659171925164,-1.6662541292249013,"48.101659171925164,-1.6662541292249013",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350594F,Ecole,Public,SANS OBJET,Ecole élémentaire publique Champion de Cicé,44 rue Champion de Cice ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0257213027,,,ecole.0350594F@ac-rennes.fr,1,0,1,,,,,,,,,,,,,319,,21350238800308,,,349916.2,6788456.8,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.10256775814849,-1.7059849021473552,"48.10256775814849,-1.7059849021473552",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350603R,Ecole,Public,SANS OBJET,Ecole élémentaire publique Pablo Picasso,13 rue Philippe Nordmann ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0257213079,,,ecole.0350603R@ac-rennes.fr,1,0,0,,,,,,,,,,,,,143,,21350238800506,,,353534.5,6788764.2,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.10725840836362,-1.6577028610900852,"48.10725840836362,-1.6577028610900852",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350607V,Ecole,Public,SANS OBJET,Ecole primaire publique Mauconseil,7 rue de la Courrouze ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299306863,,,ecole.0350607V@ac-rennes.fr,1,0,0,,,,,,,,,,,,,74,,21350238800225,,,351036.2,6787894.5,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.09811614813596,-1.6905163343355583,"48.09811614813596,-1.6905163343355583",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350615D,Ecole,Public,SANS OBJET,Ecole élémentaire publique Paul Langevin,1 rue Marcel Callo ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299418597,,,ecole.0350615D@ac-rennes.fr,1,0,0,,,,,,,,,,,,,146,,21350238800266,,,353469.9,6787312.3,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Sud,48.09418190861013,-1.6574193724930795,"48.09418190861013,-1.6574193724930795",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
